cond,kind,alpha,bt_version,ckpt,budget,opponent,seed,side,score,win,draw,loss,outcome,duration,damage_dealt,damage_taken,wez_time,surv_time,viol_deck,viol_over_g,viol_sep,mean_es
BT-v1,bt,0.0,-1,,-1,BT-v2,10000,0,0.0,0,0,1,gun_kill,54.28080423874833,4.0973523936194685,1.6527635528529094,6.506161913602179,112.14800195499495,0.002912800031591096,0.0026629566741904697,0.0,4630.874974396269
BT-v1,bt,0.0,-1,,-1,BT-v2,10000,1,0.0,0,0,1,gun_kill,103.42681987093789,0.2738500170148095,85.74042765875693,0.26868460244371484,95.66899017869497,0.0014874128517075838,0.0016190187119998832,0.0,4624.383660747275
BT-v1,bt,0.0,-1,,-1,BT-v2,10001,0,0.5,0,1,0,timeout,68.04184990778927,2.8319671145462966,12.428327649956394,5.364995317549043,88.2470560416825,0.002632429127156266,0.002065808608432612,0.0,5991.6298073676335
BT-v1,bt,0.0,-1,,-1,BT-v2,10001,1,0.0,0,0,1,gun_kill,91.69877860326253,65.04592762678163,68.84467305709401,3.1113713918328303,42.15868545201701,0.0023785919092800655,0.0021502613857544385,0.0,3930.7256266768673
BT-v1,bt,0.0,-1,,-1,BT-v2,10002,0,0.0,0,0,1,gun_kill,110.05390509141002,93.40435159562497,35.77951967090702,4.5722386458380875,58.96824519683479,0.002942112796647613,0.0025469179804902993,0.0,4174.857001584483
BT-v1,bt,0.0,-1,,-1,BT-v2,10002,1,0.0,0,0,1,gun_kill,50.44418341800417,62.31871446860424,8.401534358238482,6.661153181227182,100.8388476739815,0.00115417695740248,0.0019968821068159417,0.0,3175.704104415583
BT-v1,bt,0.0,-1,,-1,BT-v2,10003,0,0.5,0,1,0,timeout,43.525152020535515,45.033936664928696,79.63242702872942,1.8451376719499795,34.68191709579686,0.0016944953269997453,0.001181138664558995,0.0,3272.259136857366
BT-v1,bt,0.0,-1,,-1,BT-v2,10003,1,0.0,0,0,1,gun_kill,56.88265195370303,67.19948779563593,19.95154439682133,7.536904884051983,62.85991514203457,0.00045754308354734453,0.0020364202819819206,0.0,5781.463659203602
BT-v1,bt,0.0,-1,,-1,BT-v2,10004,0,0.5,0,1,0,timeout,115.91314443216635,49.9895813687647,42.522862484907556,4.9617076161230225,119.55868547117917,0.0015369303847293466,0.0026545349916798156,0.0,5273.186535924874
BT-v1,bt,0.0,-1,,-1,BT-v2,10004,1,0.0,0,0,1,gun_kill,77.63809441770934,78.57857007138075,41.46558493556708,5.875868574309835,94.00285901907749,0.0024412880435377626,0.0024068160686889642,0.0,5187.045351228928
BT-v1,bt,0.0,-1,,-1,BT-v2,10005,0,0.0,0,0,1,gun_kill,117.11335709321817,1.4706304965369288,86.36400902455757,7.849560320530754,116.14891616498672,0.002174849760091067,0.0027220171594086306,0.0,5669.806667161562
BT-v1,bt,0.0,-1,,-1,BT-v2,10005,1,0.0,0,0,1,gun_kill,73.1989131427049,23.237291963930385,80.1880578718308,7.388241278267756,53.951724506306334,0.0012479445992400959,0.0026111295068351947,0.0,5793.051947943465
BT-v1,bt,0.0,-1,,-1,BT-v2,10006,0,1.0,1,0,0,gun_kill,95.88055760909047,61.437324694899665,2.8365365113521057,5.753758182613923,31.43925565712148,0.0019470089316454239,0.002141480076530772,0.0,5787.312662391018
BT-v1,bt,0.0,-1,,-1,BT-v2,10006,1,1.0,1,0,0,gun_kill,105.7185551651145,6.6690008767101405,34.43099788041252,3.4423898555826664,116.94558727056632,0.0025908550764050147,0.0020529155275200196,0.0,3725.0271422830347
BT-v1,bt,0.0,-1,,-1,BT-v2,10007,0,0.0,0,0,1,gun_kill,50.32824855755919,12.45547058352835,28.83307570075776,4.688984518501862,79.86814519559411,0.0012791368933919756,0.0012698992439499042,0.0,3865.2636432936315
BT-v1,bt,0.0,-1,,-1,BT-v2,10007,1,0.5,0,1,0,timeout,103.63088738738193,62.65064624197535,95.90776426974422,2.955235288733447,79.73503594691584,0.000344287265606118,0.002860078603442395,0.0,3436.4206145595954
BT-v1,bt,0.0,-1,,-1,BT-v2,10008,0,0.5,0,1,0,timeout,111.89630654960672,4.306688856820418,82.27062801815019,3.323072298969797,104.68235867502925,0.0019237596904648038,0.0014373877060355265,0.0,3235.8901114969194
BT-v1,bt,0.0,-1,,-1,BT-v2,10008,1,0.0,0,0,1,gun_kill,54.646418873960144,70.26520706597863,94.38014269420908,1.014536818089982,107.83004658606967,0.002210479580006224,0.0019257494225865745,0.0,4289.32218353573
